// ----------------------
// Novice Class
// ----------------------
초보자					// Novice Class\Novice
노비스포링				// Novice Class\Novice\Poring
슈퍼노비스				// Novice Class\Super Novice
슈퍼노비스포링			// Novice Class\Super Novice\Poring
hyper_novice			// Novice Class\[4th] Hyper Novice
hyper_novice_riding		// Novice Class\[4th] Hyper Novice\Poring


// ----------------------
// Archer Class
// ----------------------
궁수					// Archer Class\Archer
타조궁수				// Archer Class\Archer\Ostrich

헌터					// Archer Class\Hunter Class\Hunter
타조헌터				// Archer Class\Hunter Class\Hunter\Ostrich
스나이퍼				// Archer Class\Hunter Class\Sniper
타조스나이퍼			// Archer Class\Hunter Class\Sniper\Ostrich
레인져					// Archer Class\Hunter Class\Ranger
레인져늑대				// Archer Class\Hunter Class\Ranger\Warg
타조레인져				// Archer Class\Hunter Class\Ranger\Ostrich
windhawk				// Archer Class\Hunter Class\[4th] Wind Hawk
wolf_windhawk			// Archer Class\Hunter Class\[4th] Wind Hawk\Warg
windhawk_riding			// Archer Class\Hunter Class\[4th] Wind Hawk\Ostrich

바드#무희				// Archer Class\Bard Class\Bard
						// Archer Class\Dancer Class\Dancer
타조바드#타조무희		// Archer Class\Bard Class\Bard\Ostrich
						// Archer Class\Dancer Class\Dancer\Ostrich
클라운#집시				// Archer Class\Bard Class\Clown
						// Archer Class\Dancer Class\Gypsy
타조크라운#타조짚시		// Archer Class\Bard Class\Clown\Ostrich
						// Archer Class\Dancer Class\Gypsy\Ostrich
민스트럴#원더러			// Archer Class\Bard Class\Minstrel
						// Archer Class\Dancer Class\Wanderer
타조민스트럴#타조원더러	// Archer Class\Bard Class\Minstrel\Ostrich
						// Archer Class\Dancer Class\Wanderer\Ostrich
troubadour#trouvere		// Archer Class\Bard Class\[4th] Troubadour
						// Archer Class\Dancer Class\[4th] Trouvere
troubadour_riding#trouvere_riding	// Archer Class\Bard Class\[4th] Troubadour\Ostrich
									// Archer Class\Dancer Class\[4th] Trouvere\Ostrich
무희바지				// Unknown?


// ----------------------
// Swordman Class
// ----------------------
검사					// Swordman Class\Swordman
페코검사				// Swordman Class\Swordman\Peco

크루세이더				// Swordman Class\Crusader Class\Crusader
신페코크루세이더		// Swordman Class\Crusader Class\Crusader\Peco
구페코크루세이더		// Swordman Class\Crusader Class\Crusader\Old Peco
사자크루세이더			// Swordman Class\Crusader Class\Crusader\Lion
팔라딘					// Swordman Class\Crusader Class\Paladin
페코팔라딘				// Swordman Class\Crusader Class\Paladin\Peco
사자팔라딘				// Swordman Class\Crusader Class\Paladin\Lion
가드					// Swordman Class\Crusader Class\Royal Guard
